epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,28.4148,2.80259,0.19697,0.67677,2.97874,0.000235264,0.000235264,0.000235264
2,54.1326,2.26654,0.33838,0.80808,2.86264,0.000472093,0.000472093,0.000472093
3,82.2949,1.91775,0.47475,0.88384,2.72314,0.000707744,0.000707744,0.000707744
4,108.459,1.64803,0.47475,0.88384,2.68009,0.000708699,0.000708699,0.000708699
5,132.93,1.52218,0.62626,0.91414,2.61855,0.000706931,0.000706931,0.000706931
6,157.581,1.34648,0.61616,0.92929,2.59209,0.000705164,0.000705164,0.000705164
7,181.957,1.24077,0.64646,0.95455,2.59477,0.000703397,0.000703397,0.000703397
8,206.511,1.26597,0.68687,0.96465,2.51506,0.00070163,0.00070163,0.00070163
9,230.737,1.22664,0.69697,0.9697,2.55391,0.000699863,0.000699863,0.000699863
10,255.823,1.08044,0.71717,0.9697,2.50849,0.000698096,0.000698096,0.000698096
11,279.893,0.982,0.74747,0.97475,2.45324,0.000696328,0.000696328,0.000696328
12,304.255,1.0894,0.74747,0.98485,2.45466,0.000694561,0.000694561,0.000694561
13,328.467,0.9622,0.74747,0.9596,2.4575,0.000692794,0.000692794,0.000692794
14,355.583,0.91244,0.68687,0.9596,2.4753,0.000691027,0.000691027,0.000691027
15,381.528,0.95586,0.75758,0.9596,2.44601,0.00068926,0.00068926,0.00068926
16,407.017,0.82304,0.77273,0.96465,2.40539,0.000687493,0.000687493,0.000687493
17,432.334,0.79779,0.74242,0.98485,2.434,0.000685726,0.000685726,0.000685726
18,457.764,0.82128,0.77273,0.98485,2.41575,0.000683958,0.000683958,0.000683958
19,482.934,0.78844,0.79293,0.9899,2.39025,0.000682191,0.000682191,0.000682191
20,508.579,0.70971,0.80303,0.97475,2.39687,0.000680424,0.000680424,0.000680424
21,533.757,0.68727,0.84848,0.97475,2.36273,0.000678657,0.000678657,0.000678657
22,558.984,0.76572,0.79293,0.96465,2.39896,0.00067689,0.00067689,0.00067689
23,584.255,0.63455,0.81313,0.97475,2.37631,0.000675123,0.000675123,0.000675123
24,610.831,0.69472,0.82323,0.9596,2.37381,0.000673356,0.000673356,0.000673356
25,636.264,0.66623,0.80303,0.9798,2.37273,0.000671588,0.000671588,0.000671588
26,662.015,0.65154,0.80303,0.9697,2.36348,0.000669821,0.000669821,0.000669821
27,687.55,0.57564,0.80303,0.96465,2.35939,0.000668054,0.000668054,0.000668054
28,713.348,0.60461,0.78283,0.96465,2.37473,0.000666287,0.000666287,0.000666287
29,739.199,0.5851,0.77273,0.9697,2.39792,0.00066452,0.00066452,0.00066452
30,764.576,0.58519,0.78283,0.97475,2.37039,0.000662753,0.000662753,0.000662753
31,790.002,0.54136,0.77273,0.9798,2.3619,0.000660986,0.000660986,0.000660986
32,815.379,0.58092,0.80808,0.97475,2.36601,0.000659218,0.000659218,0.000659218
33,840.877,0.52143,0.80303,0.9798,2.3789,0.000657451,0.000657451,0.000657451
34,867.42,0.57079,0.83838,0.96465,2.34551,0.000655684,0.000655684,0.000655684
35,893.547,0.58462,0.79798,0.9798,2.35492,0.000653917,0.000653917,0.000653917
36,918.31,0.58847,0.81818,0.9798,2.3548,0.00065215,0.00065215,0.00065215
37,943.028,0.52664,0.81313,0.9798,2.35678,0.000650383,0.000650383,0.000650383
38,967.757,0.58099,0.79293,0.9798,2.37345,0.000648615,0.000648615,0.000648615
39,992.758,0.51153,0.78788,0.98485,2.36307,0.000646848,0.000646848,0.000646848
40,1017.47,0.52111,0.79798,0.97475,2.36547,0.000645081,0.000645081,0.000645081
41,1042.14,0.50151,0.78283,0.96465,2.37518,0.000643314,0.000643314,0.000643314
