epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.45629,1.99486,0.25352,0.80282,1.91163,0.000231737,0.000231737,0.000231737
2,14.9226,1.70239,0.33803,0.90141,1.89034,0.000465086,0.000465086,0.000465086
3,22.1437,1.46727,0.50704,0.95775,1.78086,0.000693724,0.000693724,0.000693724
4,29.2605,1.26413,0.61972,0.97183,1.64221,0.000692794,0.000692794,0.000692794
5,37.0733,1.10784,0.71831,0.98592,1.49952,0.000685726,0.000685726,0.000685726
6,44.2102,0.90339,0.71831,0.98592,1.46051,0.000678657,0.000678657,0.000678657
7,51.9843,0.89535,0.84507,0.98592,1.47148,0.000671588,0.000671588,0.000671588
8,59.0698,0.70582,0.83099,0.98592,1.47898,0.00066452,0.00066452,0.00066452
9,66.4918,0.72221,0.83099,0.98592,1.34845,0.000657451,0.000657451,0.000657451
10,73.7354,0.69351,0.83099,0.98592,1.32946,0.000650383,0.000650383,0.000650383
11,81.097,0.60251,0.88732,0.98592,1.36952,0.000643314,0.000643314,0.000643314
12,88.4043,0.53318,0.87324,0.98592,1.3165,0.000636245,0.000636245,0.000636245
13,95.7934,0.50061,0.85915,0.98592,1.30836,0.000629177,0.000629177,0.000629177
14,103.179,0.44323,0.88732,0.98592,1.38283,0.000622108,0.000622108,0.000622108
15,110.24,0.45149,0.85915,0.98592,1.30591,0.00061504,0.00061504,0.00061504
16,117.739,0.45591,0.87324,0.98592,1.29037,0.000607971,0.000607971,0.000607971
17,124.859,0.52036,0.91549,0.98592,1.29835,0.000600902,0.000600902,0.000600902
18,132.331,0.45843,0.85915,0.98592,1.29823,0.000593834,0.000593834,0.000593834
19,139.409,0.45857,0.87324,0.98592,1.29746,0.000586765,0.000586765,0.000586765
20,146.866,0.3502,0.92958,0.98592,1.2569,0.000579697,0.000579697,0.000579697
21,153.978,0.30267,0.94366,0.98592,1.28866,0.000572628,0.000572628,0.000572628
22,161.422,0.37473,0.97183,0.98592,1.22743,0.000565559,0.000565559,0.000565559
23,168.526,0.46061,0.95775,0.98592,1.23146,0.000558491,0.000558491,0.000558491
24,176.099,0.33943,0.95775,0.98592,1.23914,0.000551422,0.000551422,0.000551422
25,183.636,0.37484,0.95775,0.98592,1.3418,0.000544354,0.000544354,0.000544354
26,191.175,0.31777,0.97183,0.98592,1.22478,0.000537285,0.000537285,0.000537285
27,198.353,0.2575,0.97183,0.98592,1.23328,0.000530216,0.000530216,0.000530216
28,205.811,0.29982,0.95775,0.98592,1.23817,0.000523148,0.000523148,0.000523148
29,212.972,0.30626,0.92958,0.98592,1.2551,0.000516079,0.000516079,0.000516079
30,220.593,0.34047,0.92958,0.98592,1.25912,0.000509011,0.000509011,0.000509011
31,227.679,0.28931,0.92958,0.98592,1.24699,0.000501942,0.000501942,0.000501942
32,235.208,0.3413,0.92958,0.98592,1.25312,0.000494873,0.000494873,0.000494873
33,242.353,0.27052,0.95775,0.98592,1.33045,0.000487805,0.000487805,0.000487805
34,249.982,0.25726,0.92958,0.98592,1.24652,0.000480736,0.000480736,0.000480736
35,257.224,0.18892,0.90141,0.98592,1.25656,0.000473668,0.000473668,0.000473668
36,264.828,0.29665,0.90141,0.98592,1.25265,0.000466599,0.000466599,0.000466599
37,272.056,0.2554,0.90141,0.98592,1.24984,0.00045953,0.00045953,0.00045953
38,279.56,0.21095,0.91549,0.98592,1.2529,0.000452462,0.000452462,0.000452462
39,286.684,0.23134,0.90141,0.98592,1.24164,0.000445393,0.000445393,0.000445393
40,294.219,0.20547,0.94366,0.98592,1.25702,0.000438325,0.000438325,0.000438325
41,301.306,0.29005,0.97183,0.98592,1.24,0.000431256,0.000431256,0.000431256
42,309.207,0.18667,0.92958,0.98592,1.24322,0.000424187,0.000424187,0.000424187
43,316.561,0.32225,0.94366,0.98592,1.24259,0.000417119,0.000417119,0.000417119
44,324.024,0.18982,0.95775,0.98592,1.2445,0.00041005,0.00041005,0.00041005
45,331.225,0.29386,0.95775,0.98592,1.26823,0.000402982,0.000402982,0.000402982
46,338.701,0.19051,0.95775,0.98592,1.24002,0.000395913,0.000395913,0.000395913
47,345.822,0.26971,0.94366,0.98592,1.24354,0.000388844,0.000388844,0.000388844
