epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.0966,0.76548,1.11325,3.70343,0.87191,0.03212,0.97587,0.20211,0.14605,0.03289,0.99167,0.20448,0.15906,0.83907,1.12712,3.43259,0.85293,0.0003,0.0003,0.0003
2,163.605,0.75549,0.84944,3.01365,0.8505,0.02589,0.99583,0.20478,0.15787,0.02607,1,0.2047,0.16601,0.79954,1.13543,3.10618,0.83747,0.00060849,0.00060849,0.00060849
3,239.897,0.82238,0.93475,2.58006,0.87037,0.02529,0.99583,0.20354,0.16224,0.02529,0.99583,0.20345,0.15969,0.78122,1.2917,2.82585,0.85013,0.000915446,0.000915446,0.000915446
4,314.842,0.78585,0.8354,2.26224,0.87266,0.50843,0.17591,0.21425,0.16943,0.50843,0.17591,0.21439,0.15706,0.74028,1.43116,2.69586,0.85682,0.000992575,0.000992575,0.000992575
5,392.314,0.79278,0.87658,2.06386,0.87638,0.32357,0.4919,0.32479,0.25718,0.32357,0.4919,0.32479,0.25598,0.7734,1.44297,2.50199,0.87022,0.0009901,0.0009901,0.0009901
6,470.042,0.74378,0.77166,1.86966,0.86749,0.24557,0.47914,0.32676,0.26199,0.24557,0.47914,0.32675,0.26366,0.73482,1.10104,2.77482,0.87214,0.000987625,0.000987625,0.000987625
7,545.933,0.7248,0.75666,1.66542,0.85701,0.26766,0.50358,0.3374,0.27077,0.26766,0.50358,0.3374,0.28189,0.75604,1.02534,3.44645,0.87705,0.00098515,0.00098515,0.00098515
8,622.024,0.73574,0.77858,1.62772,0.86194,0.25494,0.66407,0.33457,0.27413,0.25494,0.66407,0.33457,0.27778,0.69209,1.06302,2.47254,0.87924,0.000982675,0.000982675,0.000982675
9,697.95,0.70301,0.80902,1.5947,0.86438,0.32218,0.75772,0.3533,0.28108,0.322,0.75574,0.35311,0.28802,0.766,1.11447,3.72078,0.90473,0.0009802,0.0009802,0.0009802
10,774.672,0.66014,0.73652,1.55262,0.85249,0.40496,0.68495,0.34919,0.28897,0.40496,0.68495,0.34919,0.29367,0.68758,1.00384,2.91274,0.87879,0.000977725,0.000977725,0.000977725
11,851.055,0.64169,0.72139,1.42519,0.84199,0.41424,0.77495,0.40242,0.33716,0.41424,0.77495,0.40242,0.33938,0.66782,0.97056,2.51488,0.87399,0.00097525,0.00097525,0.00097525
12,926.618,0.65409,0.72321,1.42139,0.84752,0.33301,0.59497,0.39089,0.32519,0.33301,0.59497,0.39089,0.33224,0.67303,1.0154,2.6157,0.87249,0.000972775,0.000972775,0.000972775
13,1002.09,0.65673,0.66598,1.3705,0.84511,0.54716,0.65174,0.58781,0.49393,0.54716,0.65174,0.58781,0.49872,0.6718,0.97854,1.61501,0.87542,0.0009703,0.0009703,0.0009703
14,1078.52,0.63077,0.659,1.34265,0.85043,0.52012,0.66642,0.53449,0.446,0.52012,0.66642,0.53449,0.44916,0.65147,0.98625,1.796,0.87966,0.000967825,0.000967825,0.000967825
15,1154.89,0.66115,0.71559,1.28229,0.85029,0.6078,0.62927,0.41696,0.35437,0.6078,0.62927,0.41702,0.35482,0.66615,0.9863,2.56969,0.88314,0.00096535,0.00096535,0.00096535
16,1232.48,0.63734,0.69729,1.18815,0.85403,0.46331,0.57217,0.42727,0.35703,0.46331,0.57217,0.42737,0.36185,0.67118,0.98618,2.17311,0.8842,0.000962875,0.000962875,0.000962875
17,1308.63,0.64454,0.71339,1.14755,0.84892,0.59816,0.55958,0.44673,0.38291,0.59816,0.55958,0.44693,0.37636,0.67223,0.98943,2.25161,0.88905,0.0009604,0.0009604,0.0009604
18,1384.55,0.61793,0.67526,1.11736,0.84315,0.48026,0.65928,0.4242,0.35711,0.48026,0.65928,0.42485,0.35933,0.68427,1.04119,2.41562,0.89395,0.000957925,0.000957925,0.000957925
19,1460.45,0.60169,0.66232,1.06394,0.84256,0.57903,0.69482,0.53813,0.44983,0.57903,0.69482,0.53813,0.44008,0.6866,1.05376,2.31247,0.8958,0.00095545,0.00095545,0.00095545
20,1535.82,0.61669,0.69173,1.02092,0.85376,0.66679,0.65977,0.63116,0.53064,0.66679,0.65977,0.63116,0.53364,0.67363,0.97751,1.8858,0.88546,0.000952975,0.000952975,0.000952975
21,1611.47,0.62137,0.69319,0.9664,0.84814,0.65604,0.64292,0.62871,0.55107,0.65604,0.64292,0.62871,0.53477,0.61504,0.99504,1.58299,0.87025,0.0009505,0.0009505,0.0009505
