epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.202,0.95527,1.87686,4.02077,0.98953,0.00091,0.05274,0.00114,0.00067,0.00119,0.06813,0.00136,0.00081,0.57157,1.11922,3.89409,0.89836,4e-05,4e-05,4e-05
2,218.961,0.8266,1.35356,3.79816,0.9138,0.00153,0.08922,0.00604,0.00528,0.00203,0.12386,0.0067,0.00475,0.5916,1.05224,3.88874,0.88987,8.97773e-05,8.97773e-05,8.97773e-05
3,319.268,0.78635,1.17338,3.52245,0.86938,0.03528,0.60798,0.09998,0.07364,0.03544,0.61884,0.10539,0.07932,0.6797,1.08177,3.60647,0.84874,0.000139307,0.000139307,0.000139307
4,419.254,0.77216,1.10135,3.21928,0.86076,0.04091,0.89821,0.18022,0.13896,0.04091,0.89821,0.1824,0.14493,0.72011,1.10106,3.48814,0.83883,0.000188589,0.000188589,0.000188589
5,519.82,0.78916,1.12597,2.97969,0.86808,0.04509,0.92798,0.21432,0.16764,0.04509,0.92798,0.21432,0.17202,0.73825,1.15882,3.47142,0.83558,0.000237624,0.000237624,0.000237624
6,615.206,0.79914,1.05858,2.55453,0.87343,0.04831,0.92202,0.22689,0.17195,0.04882,0.92619,0.22725,0.17672,0.80255,1.18604,3.48726,0.85427,0.000286411,0.000286411,0.000286411
7,710.243,0.83274,1.12551,2.22984,0.88868,0.04906,0.91131,0.25173,0.19718,0.04964,0.91548,0.25211,0.19975,0.73587,1.1913,3.45993,0.83246,0.000334951,0.000334951,0.000334951
8,809.914,0.80127,1.03948,1.91945,0.87814,0.04134,0.84524,0.24229,0.19181,0.04134,0.84524,0.24333,0.19114,0.7644,1.16348,3.47929,0.84745,0.000383243,0.000383243,0.000383243
9,912.342,0.80684,1.06788,1.71075,0.886,0.04366,0.83095,0.23872,0.19463,0.04366,0.83095,0.23993,0.1957,0.70422,1.10322,3.45833,0.83607,0.000431288,0.000431288,0.000431288
10,1012.11,0.73842,0.87641,1.45361,0.87091,0.03773,0.87381,0.2639,0.20611,0.03824,0.87798,0.26568,0.21325,0.73864,1.22681,3.44842,0.84724,0.000479085,0.000479085,0.000479085
11,1113.56,0.78776,1.02327,1.43572,0.88785,0.03991,0.88988,0.27737,0.22419,0.03991,0.88988,0.27821,0.22596,0.70411,1.28755,3.42544,0.83318,0.000526635,0.000526635,0.000526635
12,1213.95,0.75103,1.01458,1.34113,0.88111,0.04038,0.87202,0.28361,0.23175,0.04038,0.87202,0.28361,0.24184,0.69831,1.0527,3.39833,0.82797,0.000573937,0.000573937,0.000573937
13,1312.5,0.72714,0.94366,1.26778,0.8755,0.03741,0.88214,0.2856,0.23924,0.03741,0.88214,0.28563,0.24438,0.66283,1.00362,3.34047,0.81818,0.000620992,0.000620992,0.000620992
14,1411.33,0.74873,1.00067,1.22387,0.87917,0.03648,0.86607,0.31095,0.25048,0.03687,0.86636,0.31187,0.25986,0.73468,1.1917,3.32749,0.83026,0.000667799,0.000667799,0.000667799
15,1512.36,0.75009,1.02731,1.19396,0.88099,0.03431,0.84226,0.25612,0.20402,0.03423,0.83451,0.25591,0.20618,0.73412,1.70022,3.34534,0.83478,0.000714359,0.000714359,0.000714359
16,1613.62,0.73614,1.01047,1.14737,0.87518,0.03544,0.85417,0.3626,0.28605,0.03669,0.86429,0.36376,0.29992,0.75821,1.06279,3.30475,0.84648,0.000760671,0.000760671,0.000760671
17,1713.25,0.76383,0.95511,1.13806,0.87364,0.04037,0.89048,0.48622,0.39474,0.0412,0.89255,0.48732,0.39977,0.70484,1.07284,3.22343,0.84618,0.000806736,0.000806736,0.000806736
18,1813.79,0.70537,0.92591,1.05198,0.87811,0.04064,0.92421,0.53061,0.43188,0.04064,0.92421,0.53136,0.43445,0.70201,1.0864,3.21123,0.85857,0.000852553,0.000852553,0.000852553
19,1914.1,0.70869,0.99917,1.08278,0.8766,0.04139,0.93393,0.5351,0.43288,0.04139,0.93393,0.53507,0.42785,0.69601,1.09261,3.18704,0.85965,0.000898123,0.000898123,0.000898123
20,2015.52,0.74529,0.98767,1.09357,0.87231,0.03549,0.96429,0.5552,0.46242,0.03549,0.96429,0.55527,0.44796,0.66186,1.11362,3.02371,0.86644,0.000943445,0.000943445,0.000943445
21,2114.88,0.7295,0.95557,1.03392,0.87629,0.03131,0.9619,0.53445,0.44536,0.03158,0.96011,0.53413,0.45048,0.69549,1.02035,3.03702,0.85784,0.0009505,0.0009505,0.0009505
22,2215.16,0.75001,1.00702,1.03048,0.87995,0.02806,0.96012,0.62094,0.50398,0.02806,0.96012,0.62081,0.50029,0.71303,1.07029,2.93891,0.8574,0.000948025,0.000948025,0.000948025
23,2314.41,0.7187,0.94963,1.03273,0.87125,0.06286,0.94414,0.59919,0.4984,0.06286,0.94414,0.59951,0.49094,0.68958,1.12878,2.9342,0.85969,0.00094555,0.00094555,0.00094555
24,2416.26,0.74467,1.05646,1.00165,0.88583,0.76736,0.27355,0.70787,0.58193,0.76736,0.27355,0.70809,0.57743,0.69066,1.08044,2.50988,0.89517,0.000943075,0.000943075,0.000943075
25,2515.16,0.7018,0.99574,0.96459,0.87463,0.74694,0.35639,0.68819,0.5649,0.74694,0.35639,0.6882,0.55628,0.66576,1.10202,2.43198,0.89539,0.0009406,0.0009406,0.0009406
26,2614.83,0.70891,0.93523,0.93031,0.8702,0.84577,0.45928,0.68734,0.56238,0.84577,0.45928,0.68734,0.568,0.68555,0.97929,2.35729,0.8981,0.000938125,0.000938125,0.000938125
27,2713.99,0.69809,0.91307,0.93677,0.87463,0.68487,0.49632,0.7222,0.60113,0.68487,0.49632,0.7222,0.58294,0.65535,1.02102,2.20601,0.88495,0.00093565,0.00093565,0.00093565
28,2813.13,0.70798,0.94309,0.88757,0.87433,0.77973,0.41969,0.67801,0.5486,0.77973,0.41969,0.67871,0.55575,0.70387,1.0319,2.38487,0.89508,0.000933175,0.000933175,0.000933175
29,2911.77,0.71145,0.95457,0.90097,0.87843,0.7297,0.46999,0.66075,0.54583,0.7297,0.46999,0.66091,0.54945,0.66975,1.01106,2.29321,0.89294,0.0009307,0.0009307,0.0009307
30,3011.33,0.72383,0.9269,0.90452,0.87554,0.73407,0.61706,0.63524,0.52513,0.73407,0.61706,0.63834,0.53803,0.69056,0.98973,2.07646,0.90663,0.000928225,0.000928225,0.000928225
31,3109.76,0.6838,0.92262,0.88219,0.87005,0.74779,0.61064,0.63272,0.52483,0.74779,0.61064,0.63463,0.54161,0.71,0.97605,2.03598,0.92432,0.00092575,0.00092575,0.00092575
32,3209.66,0.6867,0.95917,0.85994,0.87195,0.66965,0.79044,0.79856,0.66264,0.66965,0.79044,0.79856,0.66707,0.66046,0.94882,1.60911,0.93495,0.000923275,0.000923275,0.000923275
33,3310.03,0.68278,0.92428,0.81863,0.87545,0.66707,0.82654,0.8167,0.67834,0.66707,0.82654,0.81691,0.69226,0.67459,0.97136,1.38062,0.93263,0.0009208,0.0009208,0.0009208
34,3410.52,0.70382,0.93016,0.8316,0.87813,0.73024,0.80829,0.79516,0.66055,0.73024,0.80829,0.79516,0.66287,0.65414,0.94718,1.22334,0.91327,0.000918325,0.000918325,0.000918325
35,3509.5,0.70699,1.01621,0.83159,0.88043,0.72043,0.83305,0.81926,0.6774,0.72043,0.83305,0.81926,0.6951,0.67911,0.9026,1.12833,0.93558,0.00091585,0.00091585,0.00091585
36,3608.56,0.68147,0.92871,0.83322,0.86281,0.75388,0.86766,0.8472,0.708,0.75388,0.86766,0.8472,0.70348,0.66263,0.94361,1.11817,0.93027,0.000913375,0.000913375,0.000913375
37,3707.24,0.70294,0.8846,0.79648,0.87245,0.72522,0.8045,0.80957,0.67738,0.72522,0.8045,0.80957,0.67585,0.65129,0.91232,1.21225,0.92212,0.0009109,0.0009109,0.0009109
38,3806.09,0.68379,0.88518,0.79506,0.8705,0.81989,0.84542,0.8639,0.72624,0.81989,0.84542,0.8639,0.72843,0.63082,0.90806,0.96642,0.92241,0.000908425,0.000908425,0.000908425
39,3904.81,0.68516,0.8921,0.80258,0.86897,0.73554,0.83994,0.83067,0.69435,0.73554,0.83994,0.83078,0.69999,0.63647,0.89854,1.05845,0.92765,0.00090595,0.00090595,0.00090595
40,4004.44,0.66184,0.8845,0.77604,0.86782,0.73169,0.84321,0.80923,0.66784,0.73169,0.84321,0.80923,0.67829,0.66758,0.95083,1.04802,0.93789,0.000903475,0.000903475,0.000903475
41,4103.6,0.68141,0.92724,0.80184,0.86447,0.72997,0.81676,0.8121,0.6699,0.72997,0.81676,0.8121,0.67722,0.66815,0.97902,1.13054,0.95188,0.000901,0.000901,0.000901
42,4203.9,0.68141,0.91752,0.81068,0.87853,0.74717,0.72692,0.77631,0.64929,0.74717,0.72692,0.77631,0.64811,0.64267,0.98606,1.38464,0.93563,0.000898525,0.000898525,0.000898525
43,4304.21,0.67028,0.8851,0.76314,0.87066,0.74635,0.81575,0.83114,0.70031,0.74635,0.81575,0.83118,0.69186,0.63443,0.94461,1.17937,0.95038,0.00089605,0.00089605,0.00089605
44,4403.96,0.66533,0.87113,0.74729,0.86785,0.8267,0.86918,0.87104,0.71667,0.8267,0.86918,0.87104,0.72081,0.68865,1.0046,0.98379,0.94581,0.000893575,0.000893575,0.000893575
45,4504.56,0.67314,0.87635,0.76908,0.87152,0.82485,0.8274,0.86391,0.71938,0.82485,0.8274,0.86391,0.71977,0.65161,0.95317,1.06563,0.92142,0.0008911,0.0008911,0.0008911
46,4603.47,0.6625,0.87539,0.72883,0.86463,0.7507,0.89796,0.89508,0.75243,0.7507,0.89796,0.89508,0.74146,0.64375,0.96266,0.88871,0.92007,0.000888625,0.000888625,0.000888625
47,4702.99,0.65465,0.87271,0.73569,0.86888,0.82532,0.87036,0.89024,0.75826,0.82532,0.87036,0.89024,0.74014,0.61513,0.95734,0.87907,0.91309,0.00088615,0.00088615,0.00088615
48,4801.36,0.65914,0.87555,0.7446,0.86717,0.72785,0.85067,0.85254,0.70733,0.72785,0.85067,0.85254,0.72098,0.67101,0.97518,1.00072,0.94796,0.000883675,0.000883675,0.000883675
49,4900.92,0.66255,0.83882,0.72894,0.86858,0.74952,0.80882,0.85465,0.72494,0.74952,0.80882,0.85465,0.71438,0.62138,0.96182,1.1555,0.92646,0.0008812,0.0008812,0.0008812
50,5000.82,0.66544,0.86008,0.7386,0.8663,0.79313,0.82885,0.87001,0.71663,0.79313,0.82885,0.87001,0.71757,0.68016,0.97587,1.04406,0.94289,0.000878725,0.000878725,0.000878725
51,5100.25,0.67047,0.84955,0.72521,0.87212,0.76775,0.77128,0.78824,0.66902,0.76775,0.77128,0.78824,0.66049,0.61882,0.96839,1.22586,0.90869,0.00087625,0.00087625,0.00087625
52,5201.08,0.66957,0.88814,0.69252,0.88041,0.81532,0.80227,0.87248,0.72901,0.81532,0.80227,0.87248,0.72707,0.6796,0.93865,1.04736,0.93119,0.000873775,0.000873775,0.000873775
53,5298.74,0.6482,0.84354,0.67858,0.86677,0.79978,0.82009,0.87447,0.74362,0.79978,0.82009,0.87447,0.73635,0.6213,0.89432,1.0262,0.90165,0.0008713,0.0008713,0.0008713
54,5398.59,0.64384,0.83182,0.68361,0.87016,0.75011,0.83212,0.81816,0.68847,0.75011,0.83212,0.81842,0.68781,0.66187,0.93887,1.20918,0.90729,0.000868825,0.000868825,0.000868825
55,5494.1,0.66007,0.90353,0.71026,0.86837,0.73659,0.86309,0.84819,0.70709,0.73659,0.86309,0.84858,0.71024,0.64819,0.92359,1.1665,0.92057,0.00086635,0.00086635,0.00086635
56,5585.67,0.68017,0.88823,0.71655,0.8746,0.7462,0.87892,0.90777,0.75313,0.7462,0.87892,0.90777,0.76224,0.64991,0.89701,1.06133,0.92893,0.000863875,0.000863875,0.000863875
57,5676.34,0.6777,0.92114,0.7002,0.87405,0.79199,0.81156,0.88727,0.74011,0.79199,0.81156,0.88727,0.74938,0.64369,0.89189,1.06384,0.91813,0.0008614,0.0008614,0.0008614
58,5767.45,0.66374,0.86981,0.67913,0.86354,0.7775,0.82327,0.895,0.74046,0.7775,0.82327,0.895,0.7532,0.67255,0.90372,0.9842,0.92503,0.000858925,0.000858925,0.000858925
59,5860.41,0.68068,0.8805,0.7256,0.87145,0.75888,0.8681,0.90498,0.75792,0.75888,0.8681,0.90498,0.75104,0.63512,0.9644,0.9638,0.92099,0.00085645,0.00085645,0.00085645
60,5952,0.65257,0.90389,0.68224,0.87193,0.76027,0.78567,0.83885,0.70895,0.76027,0.78567,0.83885,0.71268,0.60386,0.93544,1.20688,0.90421,0.000853975,0.000853975,0.000853975
61,6043.51,0.66813,0.87573,0.69353,0.87045,0.73935,0.83911,0.86522,0.73222,0.73935,0.83911,0.8653,0.73446,0.60531,0.92127,1.1779,0.90885,0.0008515,0.0008515,0.0008515
62,6134.09,0.67678,0.87913,0.71232,0.87762,0.76053,0.7399,0.7512,0.64355,0.76053,0.7399,0.7512,0.64973,0.60785,0.92783,1.3466,0.90607,0.000849025,0.000849025,0.000849025
63,6223.73,0.66985,0.88101,0.70731,0.87392,0.79336,0.65205,0.69639,0.58447,0.79336,0.65205,0.69639,0.60667,0.65969,0.91635,1.69664,0.90984,0.00084655,0.00084655,0.00084655
64,6314.32,0.633,0.86155,0.66374,0.86109,0.75761,0.78191,0.80579,0.68027,0.75761,0.78191,0.80584,0.69112,0.61954,0.90978,1.26812,0.91038,0.000844075,0.000844075,0.000844075
65,6410.71,0.66674,0.8604,0.6676,0.86662,0.77571,0.82827,0.88948,0.75925,0.77571,0.82827,0.88948,0.75785,0.60383,0.96864,1.047,0.9134,0.0008416,0.0008416,0.0008416
66,6511.14,0.66813,0.84157,0.64645,0.86662,0.72798,0.86891,0.87412,0.73001,0.72798,0.86891,0.87412,0.73436,0.63297,1.00881,1.02805,0.91806,0.000839125,0.000839125,0.000839125
67,6612.26,0.64378,0.82648,0.60926,0.86135,0.69392,0.80251,0.81445,0.70065,0.69392,0.80251,0.81445,0.69852,0.58842,0.93759,1.12014,0.89777,0.00083665,0.00083665,0.00083665
68,6709.67,0.66265,0.83096,0.65861,0.86931,0.72455,0.75885,0.76079,0.64753,0.72455,0.75885,0.76079,0.65478,0.6201,0.92322,1.34995,0.90524,0.000834175,0.000834175,0.000834175
69,6811.84,0.68128,0.88018,0.70806,0.87636,0.73281,0.77634,0.80555,0.66997,0.73281,0.77634,0.80555,0.68704,0.65244,0.90775,1.33604,0.92603,0.0008317,0.0008317,0.0008317
70,6912.12,0.67384,0.89382,0.67088,0.87474,0.74696,0.8132,0.8545,0.71278,0.74696,0.8132,0.8545,0.7091,0.63416,0.96215,1.1425,0.91828,0.000829225,0.000829225,0.000829225
71,7010.75,0.63389,0.83699,0.62691,0.86184,0.74179,0.81715,0.8496,0.71694,0.74179,0.81715,0.8496,0.72246,0.61195,0.94427,1.06248,0.90291,0.00082675,0.00082675,0.00082675
72,7111.24,0.66862,0.94256,0.6474,0.87003,0.70502,0.76996,0.78706,0.66677,0.70502,0.76996,0.78706,0.66828,0.59484,0.89097,1.23752,0.89093,0.000824275,0.000824275,0.000824275
73,7210.3,0.64139,0.80521,0.62666,0.86189,0.7156,0.77833,0.79268,0.68011,0.7156,0.77833,0.79268,0.67095,0.58075,0.89942,1.17816,0.89283,0.0008218,0.0008218,0.0008218
74,7311.94,0.66081,0.91288,0.64648,0.86726,0.79558,0.7743,0.86759,0.72212,0.79558,0.7743,0.86759,0.72993,0.63209,0.87579,1.03041,0.91367,0.000819325,0.000819325,0.000819325
75,7411.47,0.6408,0.84326,0.63973,0.86776,0.81082,0.87598,0.90718,0.76503,0.81082,0.87598,0.90718,0.76981,0.60424,0.88506,0.85421,0.88955,0.00081685,0.00081685,0.00081685
76,7511.41,0.63301,0.89286,0.60748,0.86428,0.743,0.83571,0.83463,0.69589,0.743,0.83571,0.83478,0.70243,0.6519,0.94492,1.10651,0.91136,0.000814375,0.000814375,0.000814375
77,7605.2,0.62926,0.81986,0.59158,0.86493,0.7371,0.8023,0.78241,0.65906,0.7371,0.8023,0.78252,0.66921,0.63102,0.92677,1.26052,0.90853,0.0008119,0.0008119,0.0008119
78,7696.31,0.66137,0.85687,0.62354,0.87039,0.77266,0.89017,0.88861,0.74917,0.77266,0.89017,0.88861,0.75127,0.63657,0.93264,0.93404,0.91862,0.000809425,0.000809425,0.000809425
79,7786.71,0.62329,0.8413,0.5944,0.86748,0.76533,0.89022,0.90082,0.77085,0.76533,0.89022,0.90082,0.76918,0.59252,0.84881,0.81502,0.90904,0.00080695,0.00080695,0.00080695
80,7878.75,0.66103,0.90328,0.60762,0.86544,0.83023,0.90952,0.90861,0.78221,0.83023,0.90952,0.90861,0.77955,0.59591,0.87661,0.76639,0.90602,0.000804475,0.000804475,0.000804475
81,7968.83,0.64305,0.86095,0.61663,0.86262,0.80599,0.8893,0.88425,0.76555,0.80599,0.8893,0.88425,0.75193,0.58531,0.88459,0.84815,0.90316,0.000802,0.000802,0.000802
82,8059.87,0.64926,0.85053,0.61228,0.86076,0.79342,0.87568,0.87176,0.74783,0.79342,0.87568,0.87176,0.73806,0.59265,0.9171,0.86675,0.90358,0.000799525,0.000799525,0.000799525
83,8151.18,0.66954,0.89094,0.62153,0.86589,0.74979,0.92405,0.87347,0.7383,0.74979,0.92405,0.87347,0.73903,0.6273,0.92973,0.86942,0.91127,0.00079705,0.00079705,0.00079705
84,8241.79,0.65704,0.87171,0.58799,0.86927,0.7421,0.90672,0.87815,0.74942,0.7421,0.90672,0.87815,0.72665,0.59646,0.95794,0.91603,0.90516,0.000794575,0.000794575,0.000794575
85,8333.08,0.65369,0.83754,0.57663,0.86777,0.76761,0.90938,0.90341,0.77057,0.76761,0.90938,0.90341,0.75969,0.60425,0.94175,0.93082,0.90844,0.0007921,0.0007921,0.0007921
86,8422.69,0.62278,0.81614,0.58974,0.86585,0.76179,0.9068,0.90762,0.75944,0.76179,0.9068,0.90762,0.74301,0.64916,1.04853,0.89315,0.92368,0.000789625,0.000789625,0.000789625
87,8513.14,0.64659,0.86025,0.6085,0.86435,0.75442,0.88423,0.89157,0.7612,0.75442,0.88423,0.89157,0.74603,0.5979,0.95628,0.92804,0.91007,0.00078715,0.00078715,0.00078715
88,8603.49,0.64957,0.82576,0.59478,0.8648,0.73846,0.89974,0.85686,0.72313,0.73846,0.89974,0.85686,0.72824,0.61714,0.89034,1.03291,0.9138,0.000784675,0.000784675,0.000784675
89,8694.83,0.62421,0.83613,0.56116,0.85703,0.75793,0.88262,0.85135,0.72357,0.75793,0.88262,0.85135,0.72372,0.58661,0.85777,1.1208,0.90394,0.0007822,0.0007822,0.0007822
90,8786.17,0.64859,0.88834,0.61198,0.87207,0.74621,0.83175,0.82468,0.7061,0.74621,0.83175,0.82472,0.70078,0.59124,0.8945,1.13625,0.9043,0.000779725,0.000779725,0.000779725
91,8877.03,0.63918,0.8365,0.57185,0.87176,0.74349,0.82553,0.84094,0.70855,0.74349,0.82553,0.84094,0.72059,0.62751,0.8801,1.1067,0.92483,0.00077725,0.00077725,0.00077725
92,8966.88,0.6186,0.80745,0.55891,0.86699,0.763,0.79941,0.84796,0.7137,0.763,0.79941,0.84796,0.69695,0.60074,0.99288,1.04651,0.9281,0.000774775,0.000774775,0.000774775
93,9057.12,0.62555,0.81533,0.58584,0.86637,0.71779,0.81749,0.82875,0.6887,0.71779,0.81749,0.82875,0.67837,0.63359,1.04602,1.01932,0.92794,0.0007723,0.0007723,0.0007723
94,9148.16,0.61905,0.79765,0.56452,0.85261,0.69093,0.81477,0.82517,0.69931,0.69093,0.81477,0.82517,0.70411,0.61,0.8791,1.08326,0.90768,0.000769825,0.000769825,0.000769825
95,9239.4,0.63061,0.88697,0.59245,0.86397,0.70001,0.80261,0.81288,0.69714,0.70001,0.80261,0.81288,0.68864,0.60301,0.88359,1.13682,0.90042,0.00076735,0.00076735,0.00076735
96,9329.61,0.62705,0.82255,0.5625,0.86264,0.7694,0.76322,0.75953,0.65135,0.7694,0.76322,0.75953,0.64593,0.60846,0.95137,1.17807,0.90717,0.000764875,0.000764875,0.000764875
97,9421.55,0.62967,0.80816,0.5678,0.86611,0.75111,0.76529,0.76004,0.64683,0.75111,0.76529,0.76004,0.65058,0.613,0.88337,1.16776,0.90637,0.0007624,0.0007624,0.0007624
98,9510,0.63055,0.82957,0.56022,0.86763,0.72522,0.77037,0.77211,0.6467,0.72522,0.77037,0.77211,0.64633,0.6299,0.93009,1.18736,0.91235,0.000759925,0.000759925,0.000759925
99,9598.03,0.63365,0.8433,0.55592,0.85992,0.76148,0.85849,0.86708,0.72021,0.76148,0.85849,0.86708,0.7315,0.63653,0.8957,0.93226,0.9112,0.00075745,0.00075745,0.00075745
100,9686.7,0.64784,0.91739,0.56764,0.8631,0.83191,0.85408,0.89758,0.76956,0.83191,0.85408,0.89758,0.76282,0.59386,0.87634,0.80477,0.89562,0.000754975,0.000754975,0.000754975
