                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84221,                 1.2234,                 3.8132,                0.91598,                0.06948,                0.34256,                0.05247,                0.03775,                0.07008,                0.36697,                0.05389,                0.03723,                0.70648,                 1.4221,                 3.7859,                0.91241,             0.00032639,             0.00032639,             0.00032639
                      2,                0.81642,                0.95228,                 3.0791,                0.86678,                0.02323,                0.93757,                0.14881,                0.10334,                0.02333,                0.94145,                0.14577,                0.10839,                0.85143,                 1.5357,                 3.3454,                0.89772,             0.00065319,             0.00065319,             0.00065319
                      3,                0.82287,                0.89461,                 2.5729,                0.88735,                0.44192,                0.12615,                0.19659,                0.14056,                0.44192,                0.12615,                0.19615,                0.14818,                0.92945,                 1.5398,                 3.0231,                 0.9582,             0.00097339,             0.00097339,             0.00097339
                      4,                0.80125,                0.86333,                 2.2797,                0.88029,                0.30343,                0.35063,                0.25369,                0.17994,                0.30343,                0.35063,                0.25231,                0.18349,                0.91212,                  1.556,                 2.6731,                0.96362,              0.0009703,              0.0009703,              0.0009703
                      5,                0.77126,                0.83395,                 2.0346,                0.87644,                0.43477,                0.61118,                0.34735,                0.25505,                0.43477,                0.61118,                0.34714,                0.25177,                0.90905,                 1.6666,                 2.2873,                0.96284,              0.0009604,              0.0009604,              0.0009604
                      6,                0.72039,                0.80615,                 1.9011,                0.85899,                0.43985,                0.57026,                0.32273,                0.24079,                0.43985,                0.57026,                0.32439,                0.23769,                0.90691,                 1.5864,                 2.2837,                0.97699,              0.0009505,              0.0009505,              0.0009505
                      7,                0.77797,                0.89944,                 1.7955,                0.87397,                0.45652,                0.45269,                0.30798,                0.21224,                0.44505,                0.44852,                0.30269,                0.22124,                0.99214,                 1.5027,                 2.2474,                  1.029,              0.0009406,              0.0009406,              0.0009406
                      8,                0.72827,                0.80709,                 1.7035,                0.87382,                0.42613,                0.62025,                0.38594,                0.28566,                0.42525,                0.61637,                0.38758,                0.28684,                0.84571,                 1.3995,                 2.1406,                 1.0082,              0.0009307,              0.0009307,              0.0009307
                      9,                0.71263,                0.74686,                 1.6936,                0.86208,                0.46305,                0.47116,                0.43381,                0.31284,                0.46305,                0.47116,                0.43117,                0.31587,                0.85751,                 1.3073,                 1.9902,                 1.0118,              0.0009208,              0.0009208,              0.0009208
                     10,                0.68268,                0.68689,                 1.5436,                0.85616,                0.53117,                0.55811,                0.44145,                 0.3242,                0.53117,                0.55811,                0.44092,                0.33851,                0.89886,                 1.4097,                  2.024,                 1.0372,              0.0009109,              0.0009109,              0.0009109
                     11,                0.67791,                0.68469,                  1.508,                0.85694,                0.39397,                0.52087,                0.46988,                 0.3498,                0.39397,                0.52087,                0.46922,                0.35353,                0.81649,                 1.3973,                  1.968,                 1.0278,               0.000901,               0.000901,               0.000901
                     12,                0.66335,                0.66955,                 1.4421,                0.85123,                0.40173,                0.64073,                 0.4589,                0.36504,                0.40173,                0.64073,                0.45976,                0.36901,                0.76142,                 1.3145,                   2.05,                 1.0026,              0.0008911,              0.0008911,              0.0008911
                     13,                0.61986,                 0.6649,                 1.3778,                0.84176,                0.46681,                0.67399,                 0.5285,                0.42565,                0.46681,                0.67399,                0.52891,                0.41728,                0.77965,                 1.2337,                 1.8012,                 1.0314,              0.0008812,              0.0008812,              0.0008812
                     14,                0.63425,                0.67527,                 1.3045,                0.84744,                 0.5558,                0.74709,                0.65896,                0.52511,                 0.5558,                0.74709,                0.65971,                0.52372,                0.76013,                 1.1952,                 1.5521,                 1.0127,              0.0008713,              0.0008713,              0.0008713
                     15,                0.64453,                0.68356,                 1.3147,                0.85097,                0.51365,                0.58561,                0.54601,                0.43782,                 0.5191,                0.59045,                0.54814,                0.43251,                0.85086,                  1.418,                 1.7928,                 1.0637,              0.0008614,              0.0008614,              0.0008614
                     16,                 .62803,                0.64143,                 1.3075,                 0.8408,                0.59288,                0.72348,                0.63008,                0.49749,                0.58399,                0.72335,                0.62838,                0.49118,                0.77865,                 1.3151,                 1.6986,                 1.0129,              0.0008515,              0.0008515,              0.0008515
                     17,                0.60771,                0.63897,                 1.1919,                0.83442,                0.55334,                0.76316,                0.68327,                0.54782,                0.55334,                0.76316,                0.68029,                0.53784,                0.73261,                 1.2344,                  1.607,                0.99299,              0.0008416,              0.0008416,              0.0008416
                     18,                0.60839,                 0.6187,                 1.1861,                0.84155,                0.57717,                0.76274,                0.66817,                 0.5104,                0.57717,                0.76274,                0.66761,                0.51983,                0.82285,                 1.2997,                 1.5681,                 1.0477,              0.0008317,              0.0008317,              0.0008317
                     19,                0.60122,                0.64273,                 1.1205,                0.84964,                0.65672,                0.81536,                0.73835,                0.58176,                0.65991,                 0.8146,                0.73396,                0.57665,                0.77073,                  1.246,                 1.3661,                 1.0203,              0.0008218,              0.0008218,              0.0008218
                     20,                0.58701,                0.62988,                 1.0892,                0.83879,                0.59806,                0.78128,                0.73517,                 0.5876,                0.59786,                0.78464,                0.73469,                0.57684,                 0.7339,                  1.282,                  1.411,                 1.0047,              0.0008119,              0.0008119,              0.0008119
                     21,                0.60293,                0.63647,                 1.0792,                0.83545,                0.64013,                0.76182,                0.69593,                0.55657,                0.64013,                0.76182,                0.69593,                0.54121,                0.73117,                 1.3386,                 1.4751,                 1.0046,               0.000802,               0.000802,               0.000802
                     22,                0.59409,                0.59635,                 1.0328,                0.83828,                0.68413,                0.78789,                0.71418,                0.56355,                0.68413,                0.78789,                0.71418,                0.56211,                0.74169,                 1.3353,                 1.3208,                  1.011,              0.0007921,              0.0007921,              0.0007921
                     23,                0.58978,                0.61128,                 0.9961,                 0.8473,                0.63798,                 0.7942,                0.72309,                0.58452,                 0.6401,                0.80096,                0.72526,                0.57391,                 0.7268,                 1.3374,                 1.3334,                0.99895,              0.0007822,              0.0007822,              0.0007822
                     24,                0.60647,                0.62382,                 1.0522,                0.83432,                0.64994,                0.82379,                0.70113,                0.56571,                0.65791,                0.83251,                0.70313,                 0.5449,                0.74192,                 1.4158,                 1.4806,                 1.0088,              0.0007723,              0.0007723,              0.0007723
                     25,                0.58646,                0.67148,                0.95489,                0.84501,                0.71155,                0.79549,                0.76381,                0.62279,                0.71155,                0.79549,                0.76332,                0.61153,                0.72548,                 1.3002,                 1.2905,                0.99207,              0.0007624,              0.0007624,              0.0007624
                     26,                0.59672,                0.63002,                0.90255,                0.84093,                0.73648,                0.74688,                0.77702,                0.63066,                0.73003,                0.74235,                0.77125,                0.61256,                0.71337,                 1.3317,                 1.3158,                 1.0002,              0.0007525,              0.0007525,              0.0007525
                     27,                0.59083,                0.61336,                0.89372,                0.84677,                  0.795,                0.73437,                0.78273,                0.63985,                  0.795,                0.73437,                0.78303,                0.63099,                0.73158,                 1.3293,                 1.2197,                 1.0129,              0.0007426,              0.0007426,              0.0007426
