                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82139,                 1.2428,                  3.784,                0.90712,                0.04041,                0.63194,                0.08253,                0.06088,                0.04131,                0.64187,                0.09135,                0.06598,                0.69026,                 1.1059,                 3.5756,                0.83895,                 0.0003,                 0.0003,                 0.0003
                      2,                 0.7593,                0.90159,                 3.0325,                0.86463,                0.02791,                0.96067,                0.17676,                0.12505,                0.02832,                0.97825,                0.17785,                0.14413,                 0.8451,                 1.1209,                 3.4763,                0.86813,             0.00060396,             0.00060396,             0.00060396
                      3,                0.85627,                0.92181,                 2.5842,                0.88918,                0.02419,                0.96427,                 0.1894,                0.12062,                0.02456,                0.97798,                0.19072,                0.14979,                 0.9349,                 1.1123,                 3.1946,                0.88233,             0.00090178,             0.00090178,             0.00090178
                      4,                0.84632,                0.82273,                 2.3589,                0.89588,                0.60309,                0.24529,                0.17625,                0.12931,                0.60309,                0.24529,                0.17766,                 0.1358,                0.86295,                 1.3112,                 2.8665,                0.89444,              0.0009703,              0.0009703,              0.0009703
                      5,                0.82368,                0.89234,                 2.1124,                0.89573,                0.46809,                0.51293,                0.28838,                0.21979,                0.46809,                0.51293,                0.28927,                0.20828,                0.86947,                 1.4661,                 2.7396,                0.90162,              0.0009604,              0.0009604,              0.0009604
                      6,                0.76574,                0.80583,                 1.9167,                0.87854,                0.27627,                0.39263,                0.29602,                0.22929,                0.26328,                0.39133,                0.28176,                0.22655,                0.82637,                  1.266,                 2.5416,                0.92071,              0.0009505,              0.0009505,              0.0009505
                      7,                0.72748,                0.78428,                 1.6696,                0.87419,                0.30438,                0.43096,                0.31282,                0.25178,                0.30438,                0.43096,                0.31293,                0.25976,                0.76652,                  1.031,                 2.3517,                0.93264,              0.0009406,              0.0009406,              0.0009406
                      8,                0.70991,                0.75888,                 1.7047,                0.86785,                0.44101,                0.39021,                 0.3692,                0.29012,                0.44101,                0.39021,                0.37057,                0.30412,                0.78994,                 1.0229,                 2.2682,                0.99222,              0.0009307,              0.0009307,              0.0009307
                      9,                0.71025,                0.79627,                 1.6514,                0.87946,                0.34265,                0.44037,                0.37081,                 0.3027,                0.34265,                0.44037,                0.37111,                0.30369,                0.79477,                 1.0024,                 2.7201,                0.96573,              0.0009208,              0.0009208,              0.0009208
                     10,                0.68198,                0.79571,                 1.5695,                0.86095,                0.44873,                0.57662,                0.46048,                0.36562,                0.44873,                0.57662,                0.46077,                0.37375,                0.73935,                 1.0101,                 2.4496,                0.91376,              0.0009109,              0.0009109,              0.0009109
                     11,                 0.6844,                0.74417,                 1.4767,                0.85598,                0.43707,                0.70687,                0.53545,                0.43305,                0.43707,                0.70687,                 0.5357,                0.44702,                0.74514,                 1.0301,                 1.8248,                0.92799,               0.000901,               0.000901,               0.000901
